15:56:45.048 [main] INFO  com.example.task.TaskApplication - Starting TaskApplication using Java 17.0.9 with PID 87389 (/Users/sarinzankazbekov/IdeaProjects/Task/target/classes started by sarinzankazbekov in /Users/sarinzankazbekov/IdeaProjects/Task)
15:57:30.017 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@79ab79f6, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@4c974fe8, org.springframework.security.web.context.SecurityContextHolderFilter@214faadd, org.springframework.security.web.header.HeaderWriterFilter@40085ab3, org.springframework.web.filter.CorsFilter@422f74b7, org.springframework.security.web.authentication.logout.LogoutFilter@3da94286, com.example.task.jwt.JwtAuthenticationFilter@8e654f7, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@502356ec, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@37aedfcc, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@69aa2adb, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@3c88bef5, org.springframework.security.web.access.ExceptionTranslationFilter@722af653, org.springframework.security.web.access.intercept.AuthorizationFilter@7ec9780b]
15:57:30.469 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
15:57:30.482 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
15:57:30.493 [main] INFO  com.example.task.TaskApplication - Started TaskApplication in 6.478 seconds (process running for 7.438)
15:57:39.559 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
15:57:39.560 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
15:57:39.563 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 3 ms
15:57:39.770 [http-nio-8080-exec-1] INFO  c.example.task.aspect.AspectLogging - Username: jlet4uk - ENTER:com.example.task.service.impl.ApplicationServiceAuditImpl.create()
15:57:39.830 [http-nio-8080-exec-1] WARN  o.h.e.jdbc.spi.SqlExceptionHelper - SQL Error: 0, SQLState: 42703
15:57:39.831 [http-nio-8080-exec-1] ERROR o.h.e.jdbc.spi.SqlExceptionHelper - ERROR: column "dtype" of relation "application" does not exist
  Position: 115
