16:31:02.806 [http-nio-8080-exec-5] WARN  o.s.s.c.bcrypt.BCryptPasswordEncoder - Encoded password does not look like BCrypt
16:32:54.743 [main] INFO  org.flywaydb.core.FlywayExecutor - Database: jdbc:postgresql://localhost:5432/application (PostgreSQL 10.21)
16:32:54.782 [main] INFO  o.f.core.internal.command.DbValidate - Successfully validated 2 migrations (execution time 00:00.021s)
16:32:54.810 [main] INFO  o.f.core.internal.command.DbMigrate - Current version of schema "public": 1.1719126431
16:32:54.813 [main] INFO  o.f.core.internal.command.DbMigrate - Schema "public" is up to date. No migration necessary.
16:32:54.895 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
16:32:54.938 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.4.Final
16:32:54.965 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
16:32:55.130 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
16:32:55.191 [main] WARN  org.hibernate.dialect.Dialect - HHH000511: The 10.21.0 version for [org.hibernate.dialect.PostgreSQLDialect] is no longer supported, hence certain features may not work properly. The minimum supported version is 12.0.0. Check the community dialects project for available legacy versions.
16:32:55.893 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
16:32:55.895 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
16:32:56.080 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
16:32:57.053 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
16:32:57.399 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@59d0f14b, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@214faadd, org.springframework.security.web.context.SecurityContextHolderFilter@55eb9b2c, org.springframework.security.web.header.HeaderWriterFilter@4473bbc1, org.springframework.web.filter.CorsFilter@2390a185, org.springframework.security.web.authentication.logout.LogoutFilter@12d432ea, com.example.task.jwt.JwtAuthenticationFilter@464d25b2, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@7018c94, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@33e888d4, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@1f93cdc0, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@37aedfcc, org.springframework.security.web.access.ExceptionTranslationFilter@7c9e149, org.springframework.security.web.access.intercept.AuthorizationFilter@71fff0b]
16:32:57.866 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
16:32:57.876 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
16:32:57.886 [main] INFO  com.example.task.TaskApplication - Started TaskApplication in 5.379 seconds (process running for 5.926)
16:33:13.066 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
16:33:13.066 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
16:33:13.074 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 7 ms
16:33:16.442 [http-nio-8080-exec-1] INFO  c.example.task.aspect.AspectLogging - Username: jlet4uk - ENTER:com.example.task.service.impl.ApplicationServiceAuditImpl.create()
16:33:16.536 [http-nio-8080-exec-1] INFO  c.example.task.aspect.AspectLogging - Username: jlet4uk - EXIT:com.example.task.service.impl.ApplicationServiceAuditImpl.create()
16:33:41.996 [http-nio-8080-exec-4] WARN  o.s.s.c.bcrypt.BCryptPasswordEncoder - Encoded password does not look like BCrypt
16:33:54.790 [http-nio-8080-exec-3] INFO  c.example.task.aspect.AspectLogging - Username: jlet4uk - ENTER:com.example.task.service.impl.ApplicationServiceAuditImpl.update()
16:33:59.520 [http-nio-8080-exec-3] INFO  c.example.task.aspect.AspectLogging - Username: jlet4uk - EXIT:com.example.task.service.impl.ApplicationServiceAuditImpl.update()
16:35:44.333 [http-nio-8080-exec-6] WARN  o.s.s.c.bcrypt.BCryptPasswordEncoder - Encoded password does not look like BCrypt
16:36:09.009 [http-nio-8080-exec-8] INFO  c.example.task.aspect.AspectLogging - Username: playertf2 - ENTER:com.example.task.service.impl.ApplicationServiceAuditImpl.update()
16:36:09.026 [http-nio-8080-exec-8] INFO  c.example.task.aspect.AspectLogging - Username: playertf2 - EXIT:com.example.task.service.impl.ApplicationServiceAuditImpl.update()
16:36:09.027 [http-nio-8080-exec-8] WARN  o.h.p.entity.AbstractEntityPersister - HHH000502: The [createdBy] property of the [com.example.task.entity.Application] entity was modified, but it won't be updated because the property is immutable.
16:36:33.990 [http-nio-8080-exec-9] INFO  c.example.task.aspect.AspectLogging - Username: playertf2 - ENTER:com.example.task.service.impl.ApplicationServiceAuditImpl.update()
16:36:34.005 [http-nio-8080-exec-9] INFO  c.example.task.aspect.AspectLogging - Username: playertf2 - EXIT:com.example.task.service.impl.ApplicationServiceAuditImpl.update()
16:36:34.007 [http-nio-8080-exec-9] WARN  o.h.p.entity.AbstractEntityPersister - HHH000502: The [createdBy] property of the [com.example.task.entity.Application] entity was modified, but it won't be updated because the property is immutable.
